CP,LAT,LNG,LABEL
83630,43.7761,6.2419,Aiguines
83111,43.6075,6.3819,Ampus
83460,43.4639,6.4783,Les Arcs
83630,43.7031,6.0906,Artignosc-sur-Verdon
83560,43.6642,5.9108,Artigues
83630,43.6289,6.2253,Aups
83600,43.5361,6.7033,Bagnols-en-Forêt
83150,43.1378,5.7531,Bandol
83840,43.7356,6.5636,Bargème
83830,43.6208,6.5497,Bargemon
83670,43.5572,6.0078,Barjols
83630,43.7028,6.1158,Bauduen
83330,43.1989,5.8014,Le Beausset
83210,43.2475,6.0008,Belgentier
83890,43.3447,6.1769,Besse-sur-Issole
83230,43.1508,6.3428,Bormes-les-Mimosas
83840,43.8150,6.6353,Le Bourguet
83149,43.4747,6.1006,Bras
83840,43.8233,6.6244,Brenon
83170,43.4083,6.0611,Brignoles
83119,43.5206,6.0172,Brue-Auriac
83340,43.4278,6.2247,Cabasse
83740,43.1906,5.7314,La Cadière-d'Azur
83830,43.6139,6.5328,Callas
83440,43.6228,6.7544,Callian
83570,43.4897,6.1847,Camps-la-Source
83570,43.4758,6.1839,Carcès
83660,43.3036,6.1872,Carnoules
83320,43.0950,6.0750,Carqueiranne
83670,43.5367,6.0275,La Celle
83570,43.5228,6.2133,Châteauvert
83330,43.1786,5.7933,Le Castellet
83340,43.3292,6.2453,Le Cannet-des-Maures
83300,43.5364,6.4661,Draguignan
83330,43.1686,5.8442,Évenos
83440,43.6272,6.6933,Fayence
83830,43.5644,6.4947,Figanières
83340,43.3694,6.3372,Flassans-sur-Issole
83780,43.5339,6.3989,Flayosc
83136,43.3153,6.0967,Forcalqueiret
83670,43.5486,5.9336,Fox-Amphoux
83600,43.4322,6.7350,Fréjus
83580,43.2297,6.5892,Gassin
83136,43.3083,6.0475,Gareoult
83590,43.2161,6.5733,Gonfaron
83310,43.2722,6.5344,Grimaud
83400,43.1200,6.1300,Hyères
83840,43.7639,6.5303,La Bastide
83136,43.3358,6.0044,La Roquebrussanne
83130,43.1253,5.9322,La Garde
83160,43.1386,5.9497,La Valette-du-Var
83570,43.4744,6.3136,Lorgues
83340,43.3731,6.3042,Le Luc
83340,43.3811,6.3039,Le Cannet-des-Maures
83440,43.7442,6.7231,Montauroux
83560,43.6244,5.9489,Ollières
83190,43.1378,5.8478,Ollioules
83640,43.3417,5.8408,Plan-d'Aups-Sainte-Baume
83390,43.2867,6.1361,Pignans
83480,43.3847,6.3192,Puget-Ville
83570,43.4925,6.1489,Correns
83560,43.5878,5.9792,Rians
83110,43.1194,5.8014,Sanary-sur-Mer
83530,43.4236,6.7683,Saint-Raphaël
83140,43.1033,5.8783,Six-Fours-les-Plages
83210,43.1897,6.0397,Solliès-Pont
83210,43.1953,6.0194,Solliès-Toucas
83210,43.2006,6.0231,Solliès-Ville
83000,43.1242,5.9280,Toulon
83690,43.5894,6.3031,Tourtour
83510,43.5000,6.4328,Lorgues
83470,43.4519,5.8664,Saint-Maximin-la-Sainte-Baume
83500,43.1017,5.8825,La Seyne-sur-Mer 
